posName,salaryStr,city,comName,posDesc,taoLableList,degreeStr,degreeStr2,workYearStr,workLocationStr,posKeywordList,industryStr,propertyStr
蓝牙耳机结构高级工程师/经理,20-40K·14薪,深圳,深圳市恩乐实业有限公司,"任职要求：（有管理经验的可匹配经理岗，经理岗需要既懂结构又懂模具，薪资可谈）
1、大专以上学历,机械、机电、模具等相关专业；
2、有TWS耳机的结构设计经验.,5年以上结构设计经验；
3、熟悉软件:Proe,Cad；
4、熟悉数码音像产品，3C电子产品的结构设计,熟悉相关材质和模具结构；
5、熟悉新产品的开发流程和生产不良异常处理；
6、有团队合作精神,有责任感,心态好。

 
岗位职责：
1、新产品ID评审,产品结构设计和评审，老品的研发精益改善；
2、手板打样,制样,试模,跟模,试产,量产；
3、新产品结构设计文件的输入和输出；
4、旧产品不良维护和优化改良。","['包吃', '包住', '五险一金', '8小时工作制', '带薪年假', '弹性工作时间', '试用期全薪', '绩效奖', '项目奖', '季度奖', '年终奖', '股票期权', '免费体检', '免费旅游', '免费培训']",大专,学历不限,5年,深圳-宝安区,"['AutoCAD', 'UG', 'ProE', '产品研发', '产品设计', '标准操作规程', '蓝牙耳机产品', 'TWS耳机']",生产/制造/加工,全职
常务副总经理,15-25K,东莞,广东镁驰精密技术有限公司,"岗位职责：
1.负责厂区生产管理，生产计划制定，生产任务下达、组织和过程把控等；
2.负责厂区质量管理工作，从产品研发、生产制造到售后服务，建立并不断完善全过程的质量管理体系；
3.负责厂区人员管理。人员培养、晋升、绩效考核、培训等；
4.完成董事会制定的发展目标。
","['包吃', '包住', '五险', '工作环境优美', '绩效奖', '交通便利', '弹性工作时间', '8小时工作制']",大专,学历不限,6年,东莞-大朗镇,"['精益管理', '成本管控', '生产安全管理']",生产/制造/加工,全职
生产副总,25-45K,台州,西诺控股集团有限公司,"基本要求：
1、30岁至50岁
2、具有高度责任感和事业心，有丰富的模具制作及模具管理工作经验
3、具备出众的领导管理能力及良好的管理理念
4、熟悉人力资源管理，生产系统管理，财务管理及市场运作管理等知识，并具有丰富的实际操作经验
5、熟悉模具模具3D、2D、模具制作工艺流程。
具备成本控制知识及意识、6S管理及相关培训、安全管理。
工作经验：
1、十年以上中型模具制造团队管理经验，熟悉先进的、具有竞争有时的生产管理、品质管理、技术研发管理、人力资源管理和成本控制管理等，具有良好的综合素养和能力。
2、政策制定能力强，承受较大工作压力。","['免费培训', '全勤奖', '绩效奖', '包住', '五险', '节日福利', '生日礼物', '团队活动丰富', '8小时工作制', '试用期全薪']",大专,学历不限,应届毕业生,台州-黄岩区,['模具'],生产/制造/加工,全职
人资总监,15-25K,东莞,东莞市朗晟材料科技有限公司,"1. 战略规划:
根据公司战略，制定并实施人力资源战略规划，确保人力资源体系与公司发展目标一致。
分析行业趋势和人才市场动态，预测未来人力资源需求，制定人才储备和培养计划。
2. 组织发展:
优化公司组织架构，提升组织效率和竞争力。
建立并完善职位体系、职级体系和薪酬体系，确保内部公平性和外部竞争力。
3. 人才招聘:
制定并实施招聘策略，拓展招聘渠道，确保公司人才需求得到满足。
领导招聘团队，负责关键岗位的招聘工作。
4. 培训发展:
建立并完善培训体系，制定培训计划，提升员工技能和素质。
关注员工职业发展，制定职业发展规划和晋升机制。
5. 绩效管理:
建立并完善绩效管理体系，制定绩效考核指标和流程。
组织实施绩效考核，评估员工绩效，提供反馈和改进建议。
6. 薪酬福利:
制定并实施薪酬福利政策，确保薪酬体系的公平性和竞争力。
7. 员工关系:
建立和谐的员工关系，处理员工投诉和劳动纠纷。
组织员工活动，提升员工满意度和归属感。
8. 团队管理:
领导和管理人力资源团队，提升团队专业能力和工作效率。","['包吃', '包住', '工伤保险', '生育保险', '医疗保险', '失业保险', '工作环境优美', '餐补', '绩效奖', '五险']",大专,学历不限,10年,东莞-茶山镇,[],新材料,全职
普工,4.5-7K,东莞,东莞市凯泓五金电机有限公司,"岗位职责：
1、按照生产主管要求，按时按量完成生产任务，完成当日当月生产任务；
2、按工艺要求进行生产操作；
3、服从领导安排，完成本岗以外的技术学习任务；
4、完成领导交办的临时工作；

任职要求：
1、年龄45岁以下，有工厂工作经验优先；
2、为人正直、对待工作认真、负责、细致、品质观念强；
3、学历不限，身体健康。吃苦耐劳，服从工作安排；
4、如感兴趣可以直接电话联系

薪资待遇：
1.公司按 22 天制、普工底薪 2150 元/月. 
2.平时加班 16.5元/小时，周六、日加班 22 元/小时. 
3.包吃住（伙食标准按16元/天）
4.工龄年资：满一年600元，满三年800元........
5.春节路费补贴:工作满三个月,来回车费各补贴300元
6.老员工介绍新员工做满三个月 1000 元.","['包吃', '包住', '工作环境优美', '交通便利', '五险', '节日福利', '年终奖']",不限,学历不限,不限,东莞-万江区,[],生产/制造/加工,全职
仓库主管,10-15K,东莞,广东卡游实业有限公司,"工作职责:
1. 库存管理：负责仓库的整体库存管理，包括原材料、半成品、包装材料和成品的入库、出库、存储和盘点，确保库存数据准确性。
2. 流程优化：制定和执行仓储操作流程、库存控制策略和安全措施，优化仓库空间布局，提高存储效率。
3. 生产协调：密切配合生产部门，根据生产计划安排物料供应，确保包装材料及时送达生产线，不影响生产进度。
4. 质量监控：负责仓库内物料的质量检查，特别是包装材料的品质，确保用于玩具包装的材料符合标准，防止不合格品流入生产线。
5. 团队管理：领导和培训仓库员工，确保团队遵守操作规程，提升工作效率，维护良好的工作秩序。
6. 系统管理：运用仓库管理系统进行数据录入和查询，保证库存数据的实时更新，定期出具库存报告。
7. 成本控制：监控物料消耗，通过精确管理减少库存积压和浪费，降低物料成本。
8. 安全与合规：确保仓库作业符合国家安全、消防、环保等相关法规要求，定期组织安全培训和演练。","['包吃', '包住', '加班补助', '五险一金', '全勤奖', '免费培训', '节日福利', '工作环境优美', '8小时工作制', '免费旅游']",大专,学历不限,不限,东莞-企石镇,[],玩具/礼品,全职
人事经理,15-26K,东莞,东莞市宏鹏塑胶科技有限公司,"1.协助总经理制定公司劳动人事政策，负责研究贯彻执行公司劳动人事诸方面的方针、政 策、指令、决议；
2.就公司重大人事任免事项提供参考意见，负责拟订机构设置或重组方案、定编定员方案的上报；
3.负责拟订每年的工资、奖金、福利等人力资源费用预算和报酬分配方案，上报批准后按计划执行；
4.负责审核员工录用、晋升、调配、下岗、辞退、退休、培训、考绩、惩罚意见，并提交总经理决定；
5.负责编订和修改公司各项劳动、人事、劳保、安全管理制度，工作计划，并及时监督、检查其执行情况；
6.熟悉ISO9001及TS16949质量管理体系，主导过相关体系的具体工作。


职位要求:
1.教育背景：人力资源、管理或相关专业大学学历；
2.培训经历：人力资源管理、ISO9001，ISO14001等质量管理体系等方面的培训；
3.工作经验：5年以上相关工作经验或人力资源部经理工作经验,对招聘的流程非常熟悉,对招聘的渠道有丰富的资源;对行政后勤的管理(消防,安全)有成熟实操经验; 对劳务关系的处理有丰富经验;
4.此职位偏招聘管理和行政后勤管理;同时具备绩效考核的实操经验;
5. 在制造业塑胶类工厂做过的优先;
6.年龄30-45岁，可以及时到岗的优先;","['包吃', '包住', '全勤奖', '绩效奖', '年终奖', '免费培训', '五险一金', '节日福利']",本科,学历不限,5年,东莞-石排镇,"['招聘', '行政后勤', '消防', '安全', '劳务关系', '绩效考核', '制造业', '塑胶', '人力资源部', '人事', '重组方案', '监督', '定编定员', '总经理决定', '报酬', '退休', '辞退', '晋升', '劳动', '惩罚意见', '劳保', '计划执行', '考绩', '总经理', '奖金', '福利', '调配', '下岗', '指令', '决议', '培训', '人力资源', '管理']",生产/制造/加工,全职
CNC调机师傅,8-10K,东莞,东莞市通圣机械有限公司,"岗位职责：
1、从事CNC加工操机工作；

任职要求：
1、高中以上学历，具有3年以上操作工作经验；
2、服从安排，工作积极主动，能长期稳定；","['包住', '包吃', '工作环境优美', '交通便利', '全勤奖', '节日福利', '免费培训', '绩效奖']",不限,学历不限,3年,东莞-道滘镇,[],橡胶/塑料制品,全职
仓库主管,15-25K,东莞,广东创能精密机械有限公司,"学历：大专及以上
专业：物流管理、仓储管理相关专业
技能要求：
1.至少3年以上机械行业仓库管理经验，熟悉机械产品的分类、存储及出库流程；
2.有成功带领团队完成仓库优化、库存管理提升项目经验者优先考虑；
3.熟练掌握仓库管理系统及其他相关办公软件的操作，如ERP、Excel等；
4.具备良好的数据分析能力，能够运用统计工具对库存数据进行有效分析，提出改进建议；
5.责任心强、团队组织能力强、质量管理意识强、具有较强的安全生产意识、原则性强、对公司有绝对的忠诚度、执行能力强，能承受较大的工作压力。","['包住', '房补', '五险一金', '带薪年假', '全勤奖', '年终奖', '节日福利', '工作环境优美', '绩效奖']",大专,学历不限,3年,东莞-樟木头镇,"['管控erp', '办公软件', '仓库主管']",生产/制造/加工,全职
人事行政经理,10-15K,东莞,广东浩领创意包装有限公司,"核心工作职责：
1、协助总经理制定年度经营计划及各阶段工作目标分解。
2、协助总经理处理公司内部日常事务及协调各职能部门的工作关系、协调内部资源。
3、撰写总经理会议、专题研讨会等会议纪要，跟踪落实会议内容，协助各部门解决落实过程中的困难。
4、协助总经理进行公司企业文化的建设，配合各部门营造企业文化氛围。
5、协助总经理提升基地品质管理和客户服务管理，推动流程改进。
6、负责全面的人力资源管理工作，包括人力资源规划、招聘、培训、绩效评估、员工关系、薪酬福利等。
7、负责全面的行政事物管理工作，包括维护办公秩序、办公环境、消防安全、安保、食堂、宿舍、绿化管理等，并形成相应的管理制度。
8、制定各类行政应急预案，处理各项突发事件。
9、具有印刷包装行业经验。","['8小时工作制', '带薪年假', '弹性工作时间', '五险', '包吃', '绩效奖', '节日福利', '生日礼物', '工作环境优美', '交通便利']",大专,学历不限,5年,东莞-常平镇,['印刷包装行业'],印刷/包装/造纸,全职
