公司名称,职位名称,工作城市,所在省份,学历要求,工作经验,所属行业,职位描述
广东健生运动器材有限公司,国际业务经理,东莞,广东省,本科,经验不限,其他制造业,"岗位职责：
1、负责公司外贸平台的操作及管控；
2、负责对外国客人的询问回复及详细说明，争取到客人理解及满意，从而转化为订单；
3、负责客人要求的打样和品控要求的跟踪及寄送、追踪结果，并反馈给上级领导；
4、负责外贸订单的统计并转化为公司内部生产；
5、负责外贸订单交期的跟踪及不定时与客人进行沟通协调；
6、负责客户投诉的接收、转化内部处理、反馈及跟踪结果；
7、负责订单的出货安排、跟踪关务及货运情况，并及时与客户保持进度共享；
8、负责月度订单进度请款及订单结果结款的处理，以保证公司的合法权益；
9、负责订单的违约跟进处理；
10、负责协助上级领导及其他部门相关工作的处理。

任职要求：
教育背景
 
- 本科及以上学历，国际贸易、商务英语、市场营销等相关专业优先。
 
工作经验
 
- 具有3年以上外贸工作经验，其中至少1年以上外贸团队管理经验。
 
专业技能
 
- 精通国际贸易流程，包括订单处理、报关、货运、保险等环节。
 
- 熟练掌握商务英语，能够与国外客户进行流利的口语和书面沟通。
 
- 具备较强的市场分析能力，能敏锐把握市场动态和客户需求。
 
- 熟练使用办公软件及外贸相关软件，如阿里巴巴国际站、海关数据系统等。
 
能力素质
 
- 具备出色的领导能力和团队管理能力，能够激励和引导团队成员达成目标。
 
- 有良好的沟通协调能力，能与国内外客户、供应商及公司内部各部门有效沟通。
 
- 具备较强的问题解决能力，能够应对外贸业务中的各种突发情况。
 
- 拥有较强的抗压能力，能够在高强度的工作环境下保持良好的工作状态。
 
其他要求
 
- 具有良好的商业道德和职业操守，严守公司商业机密。
 
- 有较强的学习能力和创新意识，能够不断适应外贸行业的变化和发展。
 
- 如有相关行业的客户资源或渠道资源者优先考虑。"
江门市创科奇食品科技有限公司,外贸业务员,江门,广东省,大专,应届毕业生及以上,酒/饮料/茶制造业,"1.上班时间：8:30-12:00 13:30-18:00 ，周日休息；
2.学历：大专或以上    男女不限  22-45岁   
3.会电脑，英语六级 听说写流利；
4.公司与迪士尼等多个大品牌合作，有自己的研发团队， 加大生产设备投入，加大市场推广份额，发展空间大。
5.福利：公司包吃住，生日津贴100，全勤奖100-150元，购买社保，有工龄奖600-6000元.新入职员工可以享受公司借支政策。
6.底薪+提成  薪酬15000-30000元/月。
7.面试时间周一至周六9：00-11：30   14：00 -17：00（带本人身份证）
8.公司网址：www.ckqfood.com
工作职责 ：
1.负责国外业务的开发，制定销售计划，完成销售目标，推广公司的产品和服务
2.负责国外客户订单接收.回复.跟催
3.与各部门相关信息的交流与沟通
4.客户的需求与要求及时准确的传达到公司各相关部门
5.负责为客户提供满意的服务与沟通及售后服务"
广东健生运动器材有限公司,外贸主管,东莞,广东省,本科,经验不限,其他制造业,"岗位职责：
1、负责公司外贸平台的操作及管控；
2、负责对外国客人的询问回复及详细说明，争取到客人理解及满意，从而转化为订单；
3、负责客人要求的打样和品控要求的跟踪及寄送、追踪结果，并反馈给上级领导；
4、负责外贸订单的统计并转化为公司内部生产；
5、负责外贸订单交期的跟踪及不定时与客人进行沟通协调；
6、负责客户投诉的接收、转化内部处理、反馈及跟踪结果；
7、负责订单的出货安排、跟踪关务及货运情况，并及时与客户保持进度共享；
8、负责月度订单进度请款及订单结果结款的处理，以保证公司的合法权益；
9、负责订单的违约跟进处理；
10、负责协助上级领导及其他部门相关工作的处理。

任职要求：
教育背景
 
- 本科及以上学历，国际贸易、商务英语、市场营销等相关专业优先。
 
工作经验
 
- 具有3年以上外贸工作经验，其中至少1年以上外贸团队管理经验。
 
专业技能
 
- 精通国际贸易流程，包括订单处理、报关、货运、保险等环节。
 
- 熟练掌握商务英语，能够与国外客户进行流利的口语和书面沟通。
 
- 具备较强的市场分析能力，能敏锐把握市场动态和客户需求。
 
- 熟练使用办公软件及外贸相关软件，如阿里巴巴国际站、海关数据系统等。
 
能力素质
 
- 具备出色的领导能力和团队管理能力，能够激励和引导团队成员达成目标。
 
- 有良好的沟通协调能力，能与国内外客户、供应商及公司内部各部门有效沟通。
 
- 具备较强的问题解决能力，能够应对外贸业务中的各种突发情况。
 
- 拥有较强的抗压能力，能够在高强度的工作环境下保持良好的工作状态。
 
其他要求
 
- 具有良好的商业道德和职业操守，严守公司商业机密。
 
- 有较强的学习能力和创新意识，能够不断适应外贸行业的变化和发展。
 
- 如有相关行业的客户资源或渠道资源者优先考虑。"
东莞市浩琛五金制品有限公司,清洁工,东莞,广东省,不限,经验不限,橡胶/塑料制品,"1. 日常清洁工作：  
   - 清扫、拖地、吸尘、擦拭办公区域、走廊、会议室等公共区域。  
   - 清洁和消毒卫生间、洗手台、马桶等设施，及时补充卫生用品。  
   - 处理垃圾，分类回收并更换垃圾袋。  
   - 清洁玻璃门窗、墙面、灯具等高处或细节区域。  
2. 专项清洁任务：  
   - 定期深度清洁地毯、地板、通风口等。  
   - 根据要求进行特殊区域（如厨房、仓库）的清洁。  
3. 设备与用品管理：  
   - 正确使用清洁工具（如吸尘器、洗地机等）并定期维护。  
   - 及时上报清洁用品库存，协助补充物资。  
4. 安全与规范：  
   - 遵守安全操作流程，妥善保管清洁化学品。  
   - 发现安全隐患（如漏水、损坏设施）及时上报"
金华九禾磁电科技股份有限公司,机器人技术员/助理工程师,金华,浙江省,大专,经验3年,橡胶/塑料制品,1、掌握系统工程、工业工程、产品工艺相关知识；2、掌握自动控制、体系管理、流程优化方面的知识，掌握电气及机构原理，数据分析原理；3、了解生产设备构造及工艺流程，了解电气及机械原理，数据分析原理；
港理大（惠州）大亚湾技术创新研究院,电池材料工程师,惠州,广东省,硕士,经验不限,其他制造业,1、岗位职责：负责研究方案的归纳总结，撰写项目申请书和专利，和协助中心主任/副主任开展具体研究工作。包括但不限于：（1）负责正极材料先进工程技术开发及落地；（2）主导正极新工艺自研及拓展，探究新合成方法和路线；（3）现场跟进中试实验，主导放量工艺研究；（4）负责行业内外相关工程技术调研及引进。2、任职资格要求：（1）硕士以上学历，化学、材料相关专业优先；（2）相关领域的科研机构工作经历优先；（3）良好地沟通表达及文章写作能力。3、薪资待遇：月薪18-20K，具体面议；社保、公积金全额缴纳；商业保险缴纳。
港理大（惠州）大亚湾技术创新研究院,产品经理/高级科学主任,惠州,广东省,博士,经验不限,其他制造业,1、岗位职责：负责研究方案的归纳总结，撰写项目申请书和专利，协助中心主任/副主任开展具体研究工作。包括但不限于：（1）负责有机发光二极管材料先进工程技术开发及落地；（2）主导有机发光二极管材料自研及拓展，探究新合成方法和路线；（3）现场跟进中试实验，主导放量工艺研究；（4）负责行业内外相关工程技术调研及引进；2、任职资格要求：（1）博士以上学历，化学、材料相关专业优先；（2）相关领域的科研机构工作经历优先；（3）良好地沟通表达及文章写作能力。3、薪资待遇：月薪23-25K，具体面议；社保、公积金全额缴纳；商业保险缴纳。
广州理工学院,教学科研型博士,惠州,广东省,博士,经验不限,其他制造业,岗位职责：负责教学科研工作任职要求：1、具备博士学历学位。2、有高校教学或企业研发经验优先。其他详细信息可以参考广州理工学院官网招聘信息
惠州市华磐职业技术学校,心理咨询师,惠州,广东省,本科,经验不限,其他制造业,负责学生心理健康课程，心理咨询室运行工作。
惠州市华磐职业技术学校,语文教师,惠州,广东省,本科,经验不限,其他制造业,承担中职语文教学，兼班主任工作。具有良好的教学能力及中职语文高考教学经验优先。
